"SalesDate"|"StoreName"|"ProductName"|"SalesUnits"|"SalesRevenue"
20221003|Store2|Apple iPad 9|1|523.2500
20221005|Store2|Apple iPad 9|1|523.2500
20221007|Store2|Apple iPad 9|1|523.2500
20221008|Store2|Apple iPad 9|1|523.2500
20221012|Store2|Apple iPad 9|1|523.2500
20221020|Store2|Apple iPad 9|1|523.2500
20221001|Store3|Apple iPad 9|2|1046.5000
20221002|Store3|Apple iPad 9|1|523.2500
20221025|Store3|Apple iPad 9|1|523.2500
20221005|Store6|Apple iPad 9|2|1046.5000
20221006|Store6|Apple iPad 9|1|523.2500
20221007|Store6|Apple iPad 9|2|1046.5000
20221012|Store6|Apple iPad 9|1|523.2500
20221018|Store6|Apple iPad 9|1|523.2500
20221001|Store7|Apple iPad 9|2|1046.5000
20221002|Store7|Apple iPad 9|1|523.2500
20221004|Store7|Apple iPad 9|1|523.2500
20221006|Store7|Apple iPad 9|2|1046.5000
20221007|Store7|Apple iPad 9|2|1046.5000
20221008|Store7|Apple iPad 9|1|523.2500
20221009|Store7|Apple iPad 9|3|1569.7500
20221010|Store7|Apple iPad 9|2|1046.5000
20221014|Store5|Apple iPad 9|1|523.2500
20221023|Store5|Apple iPad 9|1|523.2500
20221029|Store5|Apple iPad 9|1|562.9363
20221005|Store4|Apple iPad 9|1|523.2500
20221005|Store1|Apple iPad 9|1|523.2500
20221006|Store1|Apple iPad 9|1|523.2500
20221007|Store1|Apple iPad 9|2|1046.5000
20221008|Store1|Apple iPad 9|1|523.2500
20221010|Store1|Apple iPad 9|1|523.2500
20221011|Store1|Apple iPad 9|1|523.2500
20221014|Store1|Apple iPad 9|1|523.2500
20221018|Store1|Apple iPad 9|1|523.2500
20221020|Store1|Apple iPad 9|1|523.2500
20221027|Store1|Apple iPad 9|1|523.2500
20221028|Store1|Apple iPad 9|1|562.9363
20221029|Store1|Apple iPad 9|1|562.9363
20221002|Store4|Apple iPad 9|4|2093.0000
20221003|Store4|Apple iPad 9|2|1046.5000
20221011|Store4|Apple iPad 9|2|1046.5000
20221012|Store4|Apple iPad 9|4|2093.0000
20221013|Store4|Apple iPad 9|1|523.2500
20221014|Store4|Apple iPad 9|1|523.2500
20221015|Store4|Apple iPad 9|3|1569.7500
20221016|Store4|Apple iPad 9|3|1569.7500
20221017|Store4|Apple iPad 9|1|523.2500
20221018|Store4|Apple iPad 9|1|523.2500
20221019|Store4|Apple iPad 9|1|523.2500
20221020|Store4|Apple iPad 9|1|523.2500
20221021|Store4|Apple iPad 9|4|2093.0000
20221023|Store4|Apple iPad 9|1|523.2500
20221024|Store4|Apple iPad 9|4|2093.0000
20221025|Store4|Apple iPad 9|2|1046.5000
20221027|Store4|Apple iPad 9|5|2676.5957
20221028|Store4|Apple iPad 9|2|1075.9674
20221030|Store4|Apple iPad 9|1|541.4946
20221001|Store3|Apple iPad 9|5|2616.2500
20221002|Store3|Apple iPad 9|4|2093.0000
20221003|Store3|Apple iPad 9|1|523.2500
20221005|Store3|Apple iPad 9|4|2093.0000
20221006|Store3|Apple iPad 9|4|2093.0000
20221007|Store3|Apple iPad 9|3|1569.7500
20221008|Store3|Apple iPad 9|2|1046.5000
20221012|Store3|Apple iPad 9|3|1569.7500
20221013|Store3|Apple iPad 9|2|1046.5000
20221015|Store3|Apple iPad 9|3|1569.7500
20221016|Store3|Apple iPad 9|2|1046.5000
20221019|Store3|Apple iPad 9|1|523.2500
20221021|Store3|Apple iPad 9|1|523.2500
20221023|Store3|Apple iPad 9|3|1569.7500
20221024|Store3|Apple iPad 9|1|523.2500
20221025|Store3|Apple iPad 9|2|1046.5000
20221026|Store3|Apple iPad 9|2|1048.2481
20221027|Store3|Apple iPad 9|3|1597.1651
20221028|Store3|Apple iPad 9|1|537.3574
20221029|Store3|Apple iPad 9|2|1082.9893
20221005|Store7|Apple iPad 9|2|1046.5000
20221012|Store7|Apple iPad 9|2|1046.5000
20221013|Store7|Apple iPad 9|1|523.2500
20221015|Store7|Apple iPad 9|2|1046.5000
20221019|Store7|Apple iPad 9|1|523.2500
20221020|Store7|Apple iPad 9|1|523.2500
20221021|Store7|Apple iPad 9|1|523.2500
20221022|Store7|Apple iPad 9|3|1569.7500
20221023|Store7|Apple iPad 9|6|3139.5000
20221024|Store7|Apple iPad 9|4|2093.0000
20221025|Store7|Apple iPad 9|3|1569.7500
20221027|Store7|Apple iPad 9|9|4818.1356
20221030|Store7|Apple iPad 9|1|541.4946
20221031|Store7|Apple iPad 9|2|1088.4699
20221001|Store2|Apple iPad 9|4|2093.0000
20221002|Store2|Apple iPad 9|3|1569.7500
20221003|Store2|Apple iPad 9|2|1046.5000
20221004|Store2|Apple iPad 9|4|2093.0000
20221005|Store2|Apple iPad 9|7|3662.7500
20221006|Store2|Apple iPad 9|4|2093.0000
20221007|Store2|Apple iPad 9|2|1046.5000
20221008|Store2|Apple iPad 9|1|523.2500
20221009|Store2|Apple iPad 9|1|523.2500
20221010|Store2|Apple iPad 9|1|523.2500
20221011|Store2|Apple iPad 9|2|1046.5000
20221012|Store2|Apple iPad 9|1|523.2500
20221013|Store2|Apple iPad 9|2|1046.5000
20221014|Store2|Apple iPad 9|1|523.2500
20221017|Store2|Apple iPad 9|1|523.2500
20221018|Store2|Apple iPad 9|1|523.2500
20221020|Store2|Apple iPad 9|3|1569.7500
20221021|Store2|Apple iPad 9|1|523.2500
20221022|Store2|Apple iPad 9|6|3139.5000
20221023|Store2|Apple iPad 9|3|1569.7500
20221024|Store2|Apple iPad 9|3|1569.7500
20221025|Store2|Apple iPad 9|0|0.0000
20221026|Store2|Apple iPad 9|1|523.2500
20221027|Store2|Apple iPad 9|1|524.9981
20221029|Store2|Apple iPad 9|1|541.4946
20221001|Store5|Apple iPad 9|1|523.2500
20221002|Store5|Apple iPad 9|3|1569.7500
20221004|Store5|Apple iPad 9|4|2093.0000
20221005|Store5|Apple iPad 9|2|1046.5000
20221006|Store5|Apple iPad 9|4|2093.0000
20221007|Store5|Apple iPad 9|1|523.2500
20221009|Store5|Apple iPad 9|1|523.2500
20221011|Store5|Apple iPad 9|1|523.2500
20221012|Store5|Apple iPad 9|1|523.2500
20221013|Store5|Apple iPad 9|2|1046.5000
20221014|Store5|Apple iPad 9|2|1046.5000
20221017|Store5|Apple iPad 9|2|1046.5000
20221019|Store5|Apple iPad 9|1|523.2500
20221021|Store5|Apple iPad 9|1|523.2500
20221023|Store5|Apple iPad 9|4|2093.0000
20221024|Store5|Apple iPad 9|5|2616.2500
20221025|Store5|Apple iPad 9|3|1569.7500
20221026|Store5|Apple iPad 9|1|524.9981
20221027|Store5|Apple iPad 9|3|1609.5244
20221001|Store4|Apple iPad 9|4|2093.0000
20221001|Store6|Apple iPad 9|6|3139.5000
20221002|Store6|Apple iPad 9|2|1046.5000
20221003|Store6|Apple iPad 9|3|1569.7500
20221004|Store6|Apple iPad 9|2|1046.5000
20221005|Store6|Apple iPad 9|8|4186.0000
20221006|Store6|Apple iPad 9|3|1569.7500
20221007|Store6|Apple iPad 9|1|523.2500
20221009|Store6|Apple iPad 9|1|523.2500
20221012|Store6|Apple iPad 9|1|523.2500
20221013|Store6|Apple iPad 9|3|1569.7500
20221015|Store6|Apple iPad 9|2|1046.5000
20221016|Store6|Apple iPad 9|1|523.2500
20221019|Store6|Apple iPad 9|1|523.2500
20221020|Store6|Apple iPad 9|1|523.2500
20221021|Store6|Apple iPad 9|1|523.2500
20221024|Store6|Apple iPad 9|4|2093.0000
20221026|Store6|Apple iPad 9|5|2621.4943
20221027|Store6|Apple iPad 9|3|1609.5244
20221029|Store6|Apple iPad 9|2|1082.9892
20221001|Store1|Apple iPad 9|7|3662.7500
